PARTICIPANT_FLOW_ID|NCT_ID|PERIOD_TITLE|RECRUITMENT_DETAILS|PRE_ASSIGNMENT_DETAILS
13807|NCT01056289|Double-blind Phase||Eligible participants entered a 24 Week Open-label treatment phase; participants who completed the Open-label phase were randomized to a 4 Week Double-blind treatment phase.
13808|NCT01056315|Overall Study||503 participants were excluded from the trial before assignment to a treatment group because they did not meet the inclusion and or exclusion criteria.
13809|NCT01056328|Overall Study||
13810|NCT01056341|Overall Study||510 patients were included in the study (informed Consent Form signed). Among these 510 patients, 460 were randomized and 50 were screen failure
At least one inclusion criterion not met in 26 cases
Parent's decision in 10 cases
Other reasons in 15 cases.
One patient was not included for two reasons (Parent's decision and other reason)
13811|NCT01056484|Randomized Controlled Trial||In the initial 26 weeks [Period 1], this was a randomized controlled trial. After the 26 week assessment, control  participants were eligible to receive the meditation intervention, however, some elected not to receive the intervention [non-randomized trial]; all study participants were followed up for additional 26 weeks [Period 2].
13812|NCT01056484|Follow up - Non-randomized||In the initial 26 weeks [Period 1], this was a randomized controlled trial. After the 26 week assessment, control  participants were eligible to receive the meditation intervention, however, some elected not to receive the intervention [non-randomized trial]; all study participants were followed up for additional 26 weeks [Period 2].
13813|NCT01056601|Overall Study||
13814|NCT01056640|Overall Study|Recruitment began on 11/21/09 and completed on 08/07/10. Interested subjects who passed a phone prescreen were seen at the study center or in their homes for consenting and additional study procedures to determine eligibility.|If study subjects consented to be in study and were found to be eligible, they were randomized to be in study.  If they were randomized to receive the telemonitor, within 3-5 days the study team make arrangements to go to their home to install the telemonitor.
13815|NCT01115101|Overall Study|Recruitment between July 2009 and November 2009. Of 1112 patients 257 met the inclusion criteria and 239 agreed to participate|
13816|NCT01115166|Overall Study|January 2010 to September 2010 at thoracic surgery department|Included patients (10). All participated in the study.
13817|NCT01115569|Conversion/Titration Phase||Out of 638 subjects treated with Hydrocodone Bitartate Extended Release (HC-ER) capsules in the Conversion/Titration Phase, 214 subjects discontinued early and 424 continued in the Maintenance HC-ER Treatment Phase; 285 subjects completed.
14131|NCT01100606|Second Treatment Period||All enrolled participants were administered Zenpep® 5,000 (pancrelipase) from open capsule mixed with a small amount of apple sauce in the screening period for 10 days.
14132|NCT01100658|Overall Study||Only 1 patient was enrolled in this study. This patient completed baseline assessment, but withdrew from the study before beginning the medication trial. No medications/placebo were administered.
14133|NCT01100762|Overall Study|Study subjects were recruited via phone call or in person from the University of Maryland, Baltimore’s Department of Neurology and the Department of Physical Therapy & Rehabilitation Sciences databases.  The recruitment period was from January 2010 through June 2011.|
14206|NCT01196442|Overall Study|Subjects were enrolled from 08/30/2010 through 06/11/2012 at a medical clinical|No pre-assignment criteria
14207|NCT01196975|Overall Study|1703 of the 1707 subjects enrolled in the study were actually administered vaccination. The other 4 subjects were not vaccinated due to failing at meeting protocol specific criteria.|For some outcome measures, the subjects receiving the GSK2282512A vaccine, from Lot 1, 2 or 3, were pooled into one larger pooled group, the GSK2282512A Group, and/or groups were stratified into the 4 age categories: 18 to 60 years (18-60Y), 61 years and older (≥61Y),  18 to 64 years (18-64Y),  and 65 years and older (≥ 65Y).
14208|NCT01196988|Overall Study|Subjects were differentiated according to their priming status. Primed subjects had received at least 1 dose of an influenza A (H1N1) 2009 monovalent vaccine and had received 2 doses of seasonal influenza in the last season or had received at least 1 dose prior to last season. Unprimed subjects had not.|3015 subjects out of the 3027 who were enrolled in the study were vaccinated. Remaining subjects were not included in the participant flow as started as they failed to meet protocol criteria. The treatment was stratified by age strata: 3-8 and 9-17 years. Another arm evaluates the GSK2321138A vaccine for children aged 6-17 and 18-35 months.
14209|NCT01197508|Overall Study|This multicenter study was conducted in Europe, South Africa, and Latin America between 1 September 2010 and 30 January 2012.|The study had an up to 21-day screening/washout period, and an 8-week prospective open-label antidepressant treatment (ADT) period to identify the target patient population of inadequate responders to ADT (<50% reduction in HAMD-17 total score during the prospective open-label ADT period, a HAMD-17 total score of ≥16 and a CGI-S score ≥4).
14210|NCT01197521|Overall Study|A total of 1475 patients were enrolled: 311, 306 & 306 were randomised to Groups A, B & C, respectively (310, 304 & 304 received at least 1 dose of IP).|A total of 552 patients failed screening.
14211|NCT01197534|Overall Study|A total of 1632 patients were enrolled: 308, 300 & 305 were randomised to Groups A, B & C, respectively (308, 298 & 302 received at least 1 dose of investigational product).|A total of 719 patients failed screening.
14212|NCT01197560|Overall Study||
14213|NCT01197755|Overall Study|A total of 638 patients were enrolled: 105, 108 & 110 were randomised to Groups A, B & C respectively (105, 108 & 109 received at least 1 dose of investigational product).|A total of 315 patients failed screening.
14214|NCT01118741|Overall Study|Recruitment dates: 06/04/2010 through 08/01/2011 in medical clinics|Given the toxic effects of disulfiram when administered within 14 days of ingesting ethanol, participants were required to agree not to drink alcohol during the study and for 14 days after its completion.
14272|NCT01106677|Extension Period: Week 26 to Week 52|This study evaluated the efficacy and safety of canagliflozin compared with sitagliptin and placebo in patients with type 2 diabetes mellitus with inadequate control despite treatment with metformin. The study was conducted between 07 April 2010 and 17 August 2012 and recruited patients from 169 study centers in 22 countries worldwide.|1,284 patients were randomly allocated to the 4 treatment arms. All patients received at least 1 dose of study drug and were included in the modified intent-to-treat (mITT) analysis set (used for the Week 26 and week 52 efficacy analyses).  All  1,284 patients were included in the Week 26 and Week 52 safety analysis sets.
14273|NCT01106690|Core Period: Baseline to Week 26|This study evaluated the efficacy and safety of canagliflozin in patients with type 2 diabetes mellitus with inadequate control despite treatment with metformin and pioglitazone. The study was conducted between 13 April 2010 and 20 November 2011 and recruited patients from 74 study centers in 11 countries worldwide.|344 patients were randomly allocated to the 3 treatment arms. 342 patients received at least 1 dose of study drug and were included in the modified intent-to-treat (mITT) analysis set (used for the Week 26 efficacy analysis) and safety analysis set (used for the Week 26 and Week 52 safety analyses).
14274|NCT01106690|Extension Period: Week 26 to Week 52|This study evaluated the efficacy and safety of canagliflozin in patients with type 2 diabetes mellitus with inadequate control despite treatment with metformin and pioglitazone. The study was conducted between 13 April 2010 and 20 November 2011 and recruited patients from 74 study centers in 11 countries worldwide.|344 patients were randomly allocated to the 3 treatment arms. 342 patients received at least 1 dose of study drug and were included in the modified intent-to-treat (mITT) analysis set (used for the Week 26 efficacy analysis) and safety analysis set (used for the Week 26 and Week 52 safety analyses).
14403|NCT01192126|Second Intervention (1 Week)|This was a two week, multicenter, open label, bilateral, crossover study. First Participant was enrolled 08/23/2010 and last participant exited the study 10/08/2010.|102 participants(204 eyes) were enrolled in this study.
14404|NCT01134627|Overall Study||One out of 305 participants was randomized by mistake and did not receive study medication.
14405|NCT01134705|Overall Study|A total of 675 patients were screened and 574 patients were enrolled in the study and participated in the Run-in Period. Of the 574 enrolled patients, 474 were randomized to study treatment.|During the 7 to 21 day Run-in Period, participants self-administered a single-blind placebo nasal aerosol once daily in the morning and assessed and recorded their twice daily allergic rhinitis symptoms to determine eligibility for randomization.
14406|NCT01134900|Overall Study|We performed a randomized, controlled trial during June 1, 2010 through August 31, 2010 at a large academic, tertiary care facility. We included all admitted adult patients who experienced a  0.5 mg/dl change in serum creatinine over 48 hours following an active, recurring order for one or more targeted nephrotoxic or renally cleared medications.|Patients who were dialyzed prior to the first serum creatinine change event or identified as a dialysis patient through a dialysis flag order, in addition to those admitted to renal transplant, liver transplant, or nephrology services were excluded.
14407|NCT01135017|Overall Study|Recruitment initiated in July 2010 was discontinued in December, 2011 due to significantly lower than planned enrollment with no feasibility to complete the trial within reasonable, meaningful timelines and despite a protocol amendment that extended the recruitment period and reduced the sample size from 424 to 286 participants.|After signature of the informed consent and after eligibility was confirmed, group assignment was made at site in a 1:1 ratio using a treatment code list generated centrally by Sanofi. Participants were considered as randomized as soon as the assignment was made.
Only 112 patients were randomized at 62 sites.
14408|NCT01135134|Overall Study||
14409|NCT01135368|Overall Study|Participants took part in the study at 38 investigative sites in Germany from 18 June 2002 to 24 September 2008.|Participants with a historical diagnosis of Gastro Esophageal Reflux disease (GERD) received treatment with Lansoprazole at the usual dosage.
14826|NCT00994448|Overall Study|substance abuse clinic, community outreach|Reasons for not being randomized were: withdrew voluntarily (4), failed to complete assessments (2), psychiatric disorder (2), weight < 50 kg (2), alcohol dependent (1), and incarcerated (1).
14827|NCT00994461|Overall Study|Subjects were screened at 3 centers in Japan.|
14828|NCT00994760|Overall Study||
14829|NCT00995020|Overall Study|Between November 1999 and December 2004, patients were assessed for eligibility, the great majority in Rio de Janeiro.|127 women were eligible for both arms: 5 refused to participate, 19 did not meet inclusion criteria.
14830|NCT00995085|Overall Study||
14831|NCT00995345|Overall Study|Conducted in 55 medical clinics in 6 countries: US, Guatemala, South Africa, Russia, Czech Republic, Poland. First site opened 19 October 2009.|Variable screening duration to allow for wash-out of one oral therapy,  optimization and stabilization of dose on metformin monotherapy (>= 10 weeks);followed by 2 week placebo run-in. Fasting CBG <240 mg/dL at start of run in and prior to randomization required.
14832|NCT00995371|Prior to ESI Cross-over, 6 Weeks|Patients were enrolled through one site (Coastal Orthopedics) between September 2009 and January 2011.|Randomization occurred in blocks of four. After Week 6 post-treatment and prior to 4 months, ESI arm participants were allowed to cross over to mild if they chose to have it.
14833|NCT00995371|After ESI Cross-over to Mild, 26 Weeks|Patients were enrolled through one site (Coastal Orthopedics) between September 2009 and January 2011.|Randomization occurred in blocks of four. After Week 6 post-treatment and prior to 4 months, ESI arm participants were allowed to cross over to mild if they chose to have it.
14924|NCT01136954|Overall Study|Subjects who completed E2090-E044-312 (NCT00566254)"Study 312" core study were invited to participate in this extension study.|
14925|NCT01137292|Overall Study||
14926|NCT01137370|Overall Study|from April 2010 to March 2011, at Seoul National University Hospital, a tertiary referral hospital in Seoul, South Korea|Korean who had been abroad for longer than 1 month during the previous year and non-Koreans were excluded from both arms.
14927|NCT01137474|Day 1 to Week 12 (Double-blind Period)|This study was originally designed with 2 additional double-blind treatment arms, dapagliflozin 2.5 and 5 mg, but randomization of new patients into these arms stopped with implementation of  Protocol Amendment 8 on 1-11-11. Patients randomized to dapagliflozin 2.5 or 5 mg remained on their blinded medication until study completion.|Of  2996 participants enrolled, 944 were randomized and received double-blind treatment.
14928|NCT01137474|Follow-up (1 Week Post Last Dose)|This study was originally designed with 2 additional double-blind treatment arms, dapagliflozin 2.5 and 5 mg, but randomization of new patients into these arms stopped with implementation of  Protocol Amendment 8 on 1-11-11. Patients randomized to dapagliflozin 2.5 or 5 mg remained on their blinded medication until study completion.|Of  2996 participants enrolled, 944 were randomized and received double-blind treatment.
14929|NCT01137786|Overall Study||
13895|NCT01209260|Overall Study|Between January 2011 and November 2012, 72 patients were randomized to 1 of 2 transseptal needle groups.|139 patients were assessed for eligibility; 61 declined to participate, 3 met exclusion criteria, 3 did not enroll for other reasons.
13896|NCT01209624|Overall Study|In this prospective non-interventional study, participants did not actively participate in the study but were observed in general clinical practice by office-based ophthalmologists.|
13897|NCT01209689|Overall Study|Because of the early termination of the study and the limited and varying duration of treatment, the 4 mg/kg and 8 mg/kg tocilizumab dose groups were combined in the efficacy and safety analyses and reporting.|
13898|NCT01209702|Overall Study||In Part 1, patients were randomized in a 1:1 ratio to placebo or tocilizumab (TCZ) 8 mg/kg. In Part 2, patients were randomized in a 2:1:1 ratio to TCZ 8 mg/kg, TCZ 4 mg/kg, or placebo, respectively. Due to the early stopping of the study and limitations in available data the TCZ dose groups in Part 2 were combined.
13899|NCT01209767|Overall Study||
13900|NCT01115673|Overall Study||
13901|NCT01115699|Overall Study||
13902|NCT01115738|Overall Study||
13903|NCT01115933|Overall Study|A total of 65 subjects at 15 Japanese sites were enrolled between April, 2010 and August, 2011.|
13904|NCT01115998|Overall Study|Children were recruited from throughout Oklahoma between February 2002 and December 2003. They were recruited through the statewide early intervention program, parent groups, radio, and contacts with occupational and physical therapists.|We used a matched pairs design and did not find matches for some of the children before they became too old for the study.
13905|NCT01011387|Overall Study|Investigation period: Feb 2010 - July 2010. In- and/or out-patients at two centers in UK were included in this investigation. Subjects included were 18 years and above with DFU including post amputation wounds associated with diabetes.Dressing changes were made 3 times/week for maximum 4 weeks.|
13906|NCT01011465|Overall Study|Participants were enrolled in this study from 6/2008 to 4/2012. Initial screening was done by phone and email. Medical screening took place at a hospital clinic and the rest of the study took place at the Harvard School of Public Health.|After initial screening , participants were asked to sign consent form and screened in a medical clinic prior to group assignment. Participants were excluded for violating study criteria, including having BMI>30, high blood pressure, acute illness, smoking or drug use and chronic medical conditions. Refusal to sign consent also led to exclusion.
13907|NCT01011556|Overall Study||
13908|NCT01011634|Overall Study||
13909|NCT01011673|Randomized|Patients were recruited from one emergency department (ED) in the Bronx, NY|
13910|NCT01011673|Emergency Department Portion|Patients were recruited from one emergency department (ED) in the Bronx, NY|
14215|NCT01118780|Overall Study||Study had 3 periods: a screening period (3 to 30 days prior to randomization, no study drug administered), a treatment period (10 weeks), and a taper period (2 weeks). Participants who completed the treatment period were considered to have completed the study. Participant Flow and results, unless specified otherwise, are during treatment period.
14216|NCT01118845|Overall Study||Among the 63 subjects enrolled in the study, 59 subjects received study drug and four subjects were excluded before the first study drug administration. The reasons for exclusion were adverse events and major protocol deviation/violation for two subjects each.
14217|NCT01118949|Overall Study|Safety Set (SS) includes all enrolled subjects who took at least 1 dose of Lacosamide (LCM).|Participant Flow and Baseline Characteristics refer to the Safety Set (SS).
14218|NCT01118962|Overall Study|This study began enrollment in August 2010.  The study completed in October 2012.  The participant flow consists of the Safety Set (SS).
The Safety Set consists of all subjects that were dosed at least once with Lacosamide (LCM).|
14148|NCT01019928|Period 1|A total of 30 patients were enrolled, 16 of these patients were NOT randomized for the following reasons:
Voluntary discontinuation by patient = 3 Incorrect enrollment (did not meet inclusion/excl criteria) = 13|14 patients were randomised, 1 patient received placebo in the first treatment period without any events, but had an SAE prior to receiving AZD1386 in the second period and was withdrawn. 13 randomised patients completed the study, but one of these patients was incorrectly enrolled and excluded from the per-protocol analysis set.
14149|NCT01019928|Period 2|A total of 30 patients were enrolled, 16 of these patients were NOT randomized for the following reasons:
Voluntary discontinuation by patient = 3 Incorrect enrollment (did not meet inclusion/excl criteria) = 13|14 patients were randomised, 1 patient received placebo in the first treatment period without any events, but had an SAE prior to receiving AZD1386 in the second period and was withdrawn. 13 randomised patients completed the study, but one of these patients was incorrectly enrolled and excluded from the per-protocol analysis set.
14150|NCT01052207|Overall Study||
14151|NCT01024855|Overall Study|Recruitment of employees occurred 7/8/2010 - 10/1/2010 thru employee bulletin for study taking place at in-house optometric clinic.|Prior to baseline visit subjects were instructed to undergo a "washout period" where no contacts were worn for 12 hours. Slit lamp exam was conducted prior to randomized group assignment. Eyes were thoroughly rinsed with unit-dose aline before pre-soaked study lenses were inserted.
14152|NCT01024959|Overall Study|507 male subjects were recruited from 14 clinical sites in the United States including academic institutions, community-based urology clinics and group health organizations.|
14153|NCT01025154|Overall Study|Recruitment Period 1/28/2010 - 2/20/2013; All participants were registered at The University of Texas MD Anderson Cancer Center.|Of the 63 participants registered, four (4) were excluded prior to study starting.
14154|NCT01025271|Overall Study|unable to meet enrollment no data available.  Study terminated early|unable to meet enrollment no data available.  Study terminated early
14155|NCT01059565|24-Week Randomized Phase|Participants were enrolled at 34 sites in the United States and 1 site in Canada. The first participant was screened on 22 February 2010. The last participant observation was on 28 December 2010.|102 participants were screened and 101 were randomized. Of those participants randomized, 100 received at least one dose of study drug, and comprise the Safety Analysis Set and the Full Analysis Set.
14410|NCT01135381|Overall Study|Patients were recruited from multiple clinical units in a large tertiary care clinical facility in Alabama with a geographically wide, mostly rural catchment area.
Recruitment period: 2/2010 to 3/2012.|757 were discharged prior to completing their enrollment, and 304 did not meet other inclusion criteria. Thus, a total of 511 patients were enrolled and randomly assigned to groups.
14411|NCT01135511|Overall Study||In this study, during the 2-week run-in period, enrolled participants were administered artificial tears 4 times daily after signing informed consent.
14412|NCT01135524|Overall Study|02-Apr-2004 (first subject first visit, core study) to 05-Aug-2005 (last subject last visit, extension phase), in 82 sites in the US; 59 sites randomized at least 1 subject.|Subjects with moderate to severe osteoarthritis (OA) pain who required opioid analgesia; completed all visits of the double-blind phase on study drug, or who discontinued study drug due to lack of therapeutic effect in the double-blind phase and completed all visits of the double-blind phase off study drug were eligible for the extension phase.
14413|NCT01163656|Overall Study|Healthy infants under the age of 12 months undergoing elective surgery requiring tracheal intubation were eligible.|Any subject was excluded from participation if they were known  or suspected to be a difficult intubation or if they required a rapid-sequence intubation.
14414|NCT01163721|Overall Study|Participants with type 2 diabetes mellitus (T2DM) were enrolled in a total of 9 study sites in the United States. The first participant was screened on 22 June 2010. The last participant observation was on 15 November 2010.|The Safety Analysis Set (n = 80) includes participants who were randomized in the study and received at least one dose of study drug. The Full Analysis Set (n = 79) includes participants who were randomized in the study and received at least one dose of study drug, and had at least one post-baseline efficacy measurement.
14543|NCT01128972|Period III|Participants were recruited at the clinical site.|Two days, prior to each treatment visit ,participants used a fluoride- free dentifrice twice daily to avoid any carry over effect.
14544|NCT01198600|Phase 2: 56 Days of Wear|Participants were recruited from one Canadian research center.|Baseline characteristics are presented for all enrolled participants: 78.  The participant flow chart includes all enrolled and dispensed participants: 72.  Six participants were enrolled but not dispensed.
14545|NCT01198600|Phase 3: 43 Days of Wear|Participants were recruited from one Canadian research center.|Baseline characteristics are presented for all enrolled participants: 78.  The participant flow chart includes all enrolled and dispensed participants: 72.  Six participants were enrolled but not dispensed.
14546|NCT01198691|Completed Surgery -Received Intervention||
14547|NCT01198691|Completed VAS Score Postop Day 1||
14548|NCT01198691|Completed VAS Score at Discharge||
14549|NCT01198691|Survey Prior to Discharge||
14550|NCT01198691|6 Week Post-partum Survey||
14930|NCT01137812|Overall Study|This study evaluated the efficacy and safety of canagliflozin compared with sitaglitin in patients with type 2 diabetes mellitus with inadequate control, despite treatment with metformin and sulphonylureas. The study was conducted between 30 June 2010 and 09 March 2012 and recruited patients from 140 study centers located in 17 countries worldwide.|A total of 756 patients were randomly allocated to the 2 treatment arms in the study. 755 patients received at least 1 dose of study drug and were included in the modified intent-to-treat (mITT) analysis set and the safety analysis set.
14931|NCT01138007|Overall Study|A total of 572 participants were enrolled in the study; however, 3 of these participants were mistakenly registered and were not randomized to study treatment.|Participants who met the inclusion criteria enrolled in the 1- to 2-week Run-in Phase before entering the 8-week Treatment Phase, followed by the 2-week Follow-up Phase. In the Run-in Phase, the previous/existing prohibited medications administered were washed out, and participants' clinical symptoms were carefully monitored.
14932|NCT01138046|Overall Study||Six participants who met the eligibility criteria were enrolled into Phase I of the study. These 6 participants continued treatment into Phase II of the study, into which an additional 6 participants were enrolled. A total of 12 participants were followed until death or withdrawal from the study.
14933|NCT01138098|Overall Study||
14934|NCT01138111|Overall Study|A total of 71 patients were screened at one study center in Australia.  The first subject's consent was obtained on 02 JUN 2008.|26 subjects were screen failures and did not have study drug administered.
14935|NCT01146782|Safety Cohort|Subjects for the study were recruited from the Investigator’s sleep clinic or through advertising.  Advertisements were approved by the applicable Institutional Review Board (IRB) prior to use.|Initial screening phase consisted of initial medical/dental and eligibility screening.  Subjects then underwent an Oxygen Desaturation Index (ODI) screening (confirming ODI of 10-60) and one night of home use with the study device to screen for proper fit.
14936|NCT01146782|Primary Endpoint Cohort|Subjects for the study were recruited from the Investigator’s sleep clinic or through advertising.  Advertisements were approved by the applicable Institutional Review Board (IRB) prior to use.|Initial screening phase consisted of initial medical/dental and eligibility screening.  Subjects then underwent an Oxygen Desaturation Index (ODI) screening (confirming ODI of 10-60) and one night of home use with the study device to screen for proper fit.
14636|NCT01178385|Overall Study|Forty-five children between 7-11 years (M=8.89, SD=1.34) were recruited through referrals, advertisements, and the patient flow at a university-based mental health clinic. Recruitment took place between March, 2010 and ended around January, 2012.|Seventy-one youth were assessed for eligibility. Twenty-six were excluded because they did not meet eligibility criteria (Did not meet IQ criteria (n=6); Did not meet anxiety criteria (n=9); Parent unwilling or unable to accompany child to all sessions (n=4); No autism spectrum disorder diagnosis (n=7)).
14637|NCT01178762|Overall Study|Patients with clinically suspected chlamydial conjunctivitis at the outpatient clinic of Dr Hou at National Taiwan University Hospital (NTUH) between 1 January 2006 and 31 December 2006 were included|Patients with symptoms and signs of chlamydial conjunctivitis suspected were tested for Chlamydia direct fluorescent antibody  tests. The patients with positive results were treated with oral azithromycin,except those who were pregnant, lactating,with a history of allergy to macrolides or hepatic, renal,hematological or cardiovascular disease .
14638|NCT01178827|Overall Study||
14639|NCT01178853|Period 1 (Warfarin Titration)|14 July 2010 – 09 November 2010|
13911|NCT01011673|24 Hour Follow-up|Patients were recruited from one emergency department (ED) in the Bronx, NY|
13912|NCT01011816|26-Week Primary Endpoint||
14000|NCT01045187|Overall Study|Recruitment was from September 2008 through October 2009.  The centers were at Hospitals and free-standing radiation oncology clinics.|Patients who were candidates for vaginal brachytherapy post TAH-BSO with or without EBRT were enrolled.  Patient participation was voluntary for this data collection study.
14001|NCT01045265|Overall Study||
14002|NCT01077375|Overall Study|Recruitment occurred over an 8 month period from February 2010 to September 2010 at 25 study centers in the United States. Last patient last visit occurred on December 22nd, 2010.|All participants were given an open-label treatment of duloxetine 60 mg once daily for a two week period before randomization.
Patients randomized to placebo received 1 week of duloxetine 30 mg to effect a duloxetine down-taper. Patients randomized to milnacipran received 1 week of placebo capsules to maintain the blind.
14003|NCT01077596|Overall Study|Patients were not recruited for nor enrolled in this study.  This study is a retrospective observational study.  Data from medical records or insurance claims databases are anonymized and used to develop a patient cohort.  All diagnoses and treatment are recorded in the course of routine medical practice.|
14004|NCT01077622|Overall Study||
14005|NCT01077739|Overall Study||
14006|NCT01077804|Overall Study||
14007|NCT01077817|Overall Study|Participants were not recruited nor enrolled in this study. This study is a retrospective observational study. Data from the GPRD were anonymized and used to develop participant cohorts. All diagnoses and treatments were recorded in the course of routine medical practice.|684,815 women in the General Practice Research Database (GPRD) formed the Overall Study Population. These women met the demographic criteria of being age 55 or older, were born between 1922 and 1955, had more than 720 days experience in the GPRD and at least one of those days fell between 1996 and 2008.
14008|NCT01077830|Overall Study|All participants from five countries (Sweden, Denmark, Norway, Finland, and United Kingdom) who completed the SEAS base study and who were known to be alive at the end of the base study.|Of the 1873 participants in the SEAS base study, 1392 were eligible for inclusion in this follow-up study.  Of these 1392 participants, 33 were excluded due to incomplete base study data or because follow-up data could not be obtained, leaving 1359 participants in the follow-up study.
14009|NCT01077960|Overall Study|Study Initiation Date: 03 Feb 2005 (date of first subject, first dose) Study Completion Date 04 Jan 2006 (date of last subject, last visit) 26 study centers in the United States and British Columbia participated in this study, with each center enrolling at least one subject into the study.|Any subject who was enrolled in Serono Study 24380, assigned to Group A, and fully completed all study visits without major protocol violations was to be allowed to enroll in Study 25373
14010|NCT01077973|Overall Study||
14011|NCT01078090|Overall Study||
14012|NCT01078116|Overall Study||
14156|NCT01059565|24-Week Open-Label Phase|Participants were enrolled at 34 sites in the United States and 1 site in Canada. The first participant was screened on 22 February 2010. The last participant observation was on 28 December 2010.|102 participants were screened and 101 were randomized. Of those participants randomized, 100 received at least one dose of study drug, and comprise the Safety Analysis Set and the Full Analysis Set.
14157|NCT01059617|Overall Study||
14158|NCT01059773|Overall Study||
14159|NCT01059851|Overall Study||16 participants were enrolled in Part I of the study. Because the primary hypothesis was met in Part I, no participants were enrolled in Part II of the study.
14160|NCT01059864|Open-Label Run-In Phase||
14161|NCT01059864|Double-Blind Treatment Phase||
14176|NCT01068743|Period 1|Participants (N = 24) who met all of the inclusion and none of the exclusion criteria were recruited from a single site in the United States.|Participants were screened for eligibility within 21 days before Day 1 of period 1. On Day −1 of each period, the participants were admitted to the clinical facility and confined for 4 days. All the 24 participants were randomly assigned to 1 of 4 treatment sequences (ADBC, BACD, CBDA, or DCAB). The washout between each dose was at least 7 days.
14177|NCT01068743|Period 2|Participants (N = 24) who met all of the inclusion and none of the exclusion criteria were recruited from a single site in the United States.|Participants were screened for eligibility within 21 days before Day 1 of period 1. On Day −1 of each period, the participants were admitted to the clinical facility and confined for 4 days. All the 24 participants were randomly assigned to 1 of 4 treatment sequences (ADBC, BACD, CBDA, or DCAB). The washout between each dose was at least 7 days.
14178|NCT01068743|Period 3|Participants (N = 24) who met all of the inclusion and none of the exclusion criteria were recruited from a single site in the United States.|Participants were screened for eligibility within 21 days before Day 1 of period 1. On Day −1 of each period, the participants were admitted to the clinical facility and confined for 4 days. All the 24 participants were randomly assigned to 1 of 4 treatment sequences (ADBC, BACD, CBDA, or DCAB). The washout between each dose was at least 7 days.
14179|NCT01068743|Period 4|Participants (N = 24) who met all of the inclusion and none of the exclusion criteria were recruited from a single site in the United States.|Participants were screened for eligibility within 21 days before Day 1 of period 1. On Day −1 of each period, the participants were admitted to the clinical facility and confined for 4 days. All the 24 participants were randomly assigned to 1 of 4 treatment sequences (ADBC, BACD, CBDA, or DCAB). The washout between each dose was at least 7 days.
14180|NCT01068769|Overall Study|Participants were enrolled at three sites between February and December, 2010.|
14181|NCT01100931|Phase II||One patient withdrew consent before starting treatment.
14182|NCT01101022|Overall Study||161 subjects were enrolled and randomized, but 2 never received any investigational product, and therefore were not included in subject disposition going forward (n = 159).
14551|NCT01198756|Overall Study|A total of 3109 subjects were enrolled, out of which solely 3094 subjects were vaccinated who constituted the analysed population in this study.|Unprimed Subjects – subjects aged 6 months to 8 years with no H1N1 vaccine or H1N1 infection in the last season, or with no seasonal influenza vaccine in the past or who had received only 1 dose for the first time in the last season – received a 2-dose vaccination course. Primed Subjects – all other subjects – received a 1-dose vaccination course.
14552|NCT01198769|Overall Study||
14553|NCT01198795|Overall Study|Patient recruitment occurred at 16 studies sites located in the US from October of 2010 to August of 2012.|All patients completed a 1-week no-drug screening period before beginning treatment with study drug.
14554|NCT01198873|Overall Study|Recruitment initiated in September 2010 was discontinued in September, 2011 due to significantly lower than planned enrollment with no feasibility to complete the trial within reasonable, meaningful timelines.
At that time 57 sites in US and Canada had screened at least one patient.|After signature of the informed consent and after eligibility was confirmed, group assignment was made at site in a 1:1 ratio using a treatment code list generated centrally by Sanofi. Participants were considered as randomized as soon as the assignment was made.
A total of 76 participants were randomized at 39 sites.
14555|NCT01199237|Overall Study|At one U.S. clinical site, patients scheduled to undergo surgery requiring general anesthesia lasting approximately 1.5 - 3.0 hours requiring tracheal intubation and paralysis during surgery were invited to participate|Participation of the first 26 enrollees was considered a pilot to determine the feasibility of measuring the primary outcome at T1+5 minutes. The majority of participants were alert, and no meaningful analyses could be made. The study was modified to assess the primary outcome at T1 + 2 minutes, and 81 additional participants were recruited.
14556|NCT01199471|Overall Study||
14557|NCT01199601|Overall Study|Women in active labor able to provide consent recruited by random number designation at four Kabul public maternity hospitals following admission.  Recruitment occurred from June 2008 through January 2009.|Not applicable.
14275|NCT01106859|Overall Study||Forty-four candidates were screened.  Four screening failures:  high blood pressure (2), positive drug test (1), personal reasons (1)
14276|NCT01106950|Overall Study|Study entry was open to patients 2 years and older regardless of gender, race, or ethnic background.|Seventeen patients were enrolled, however, 2 patients did not receive Ontak (study drug) and were not included in the analysis.
14277|NCT01143714|Overall Study|Adults aged 18 years and older, with a diabetic foot ulcer that has not responded to treatment|
14278|NCT01143727|Overall Study|Adults aged 18 years and older, with Type I or II diabetes mellitus and at least one inflamed diabetic foot ulcer|
14279|NCT01143766|Overall Study||
14280|NCT01143792|Overall Study|recruitment ended on time, recruitment completed as proposed.|intent to treat design used.
14306|NCT01227993|Overall Study||
14640|NCT01178853|Period 2 (Warfarin + Study Drug)|14 July 2010 – 09 November 2010|
14641|NCT01178853|Period 3 (Warfarin Titration)|14 July 2010 – 09 November 2010|
14642|NCT01178853|Period 4 (Warfarin + Study Drug)|14 July 2010 – 09 November 2010|
14643|NCT01179191|Titration Phase (up to 6 Weeks)||
14644|NCT01179191|Maintenance Phase (8 Weeks)||
